,uuid,created_at,updated_at,challengeable_type,subject_key,subject_type,subject_owner,subject_source,subject_source_date,comment,Entity.LegalName,Entity.LegalAddress.Region,Entity.LegalAddress.Country,Entity.LegalAddress.PostalCode,Entity.HeadquartersAddress.Region,Entity.HeadquartersAddress.Country,Entity.HeadquartersAddress.PostalCode,Entity.LegalJurisdiction,Entity.EntityStatus,Registration.RegistrationStatus,Registration.ValidationSources
0,65bc9661-0df3-4d96-940f-e848b4c18239,2/12/2019 15:49,4/12/2019 18:00,App\ChallengeDetail,549300KVKZBBFJVCYR31,Level1,EVK05KS7XY1DEII3R011,LEI_SEARCH,2/12/2019 14:49,Please remove the additional address line as it is not part of the record. Please also check your entire database for similar issues. We have encountered at least 30 records managed by your with 'remove'-statements somewhere in the reference data.,FIRST TRUST EXCHANGE-TRADED FUND - FT Cboe Vest Gold Target Income ETF,US-MA,US,2110,US-IL,US,60187,US-MA,ACTIVE,ISSUED,FULLY_CORROBORATED
1,8c456017-611e-43c6-93cf-fdfd8bdcc81d,2/12/2019 15:56,19-12-2019 10:00,App\ChallengeDetail,31570000000000000000,Level1,315700LK78Z7C0WMIL03,LEI_SEARCH,2/12/2019 14:56,This challenge is raised as part of the accuracy of addresses improvements mentioned in Numbered Message 548.,Mats KlingstrÃ¶m Produktion Aktiebolag,SE-AB,SE,113 27,SE-AB,SE,113 27,SE,ACTIVE,ISSUED,FULLY_CORROBORATED
2,306de2d5-f922-479b-b6e1-a2a66c5399b7,2/12/2019 16:36,4/12/2019 19:00,App\ChallengeDetail,549300BOEOI4WESW8X03,Level1,EVK05KS7XY1DEII3R011,LEI_SEARCH,2/12/2019 15:36,Address line is included by mistake,NEW BRAUNFELS STEWARDSHIP PROPERTIES LLC,US-TX,US,78130,US-TX,US,78130,US-TX,ACTIVE,ISSUED,FULLY_CORROBORATED
3,47ef2969-6c66-4443-b36e-68f8067e8c93,2/12/2019 17:30,3/12/2019 14:00,App\ChallengeDetail,3358008G81OSJ49BHY14,Level2,335800FVH4MOKZS9VH40,LEI_SEARCH,2/12/2019 16:30,RELX GROUP PLC Annual Report 2018 (https://www.relx.com/~/media/Files/R/RELX-Group/documents/reports/annual-reports/2018-annual-report.pdf),CORTICA REPUBLIC L.L.C.,US-CA,US,95628,US-CA,US,92782,US-CA,ACTIVE,ISSUED,FULLY_CORROBORATED
4,4b14a026-f00a-4d0d-b381-d75fa05e22a8,3/12/2019 3:08,4/12/2019 18:00,App\ChallengeDetail,549300OBBNUO3ZYIJQ64,Level1,EVK05KS7XY1DEII3R011,LEI_SEARCH,3/12/2019 2:08,Both names and Country is same- they are duplicates,BIG RIVER OIL COMPANY,US-MO,US,63401,US-MO,US,63401,US-MO,ACTIVE,ISSUED,FULLY_CORROBORATED
5,ac0c1acf-ee62-4141-becc-7976da901525,3/12/2019 6:15,3/12/2019 18:00,App\ChallengeDetail,254900GHKNV6DUMNQL66,Level1,5493001KJTIIGC8Y1R12,LEI_SEARCH,3/12/2019 5:15,Jurisdiction should be changed to Maryland as per Edgar - https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=S000010896&owner=include&scd=filings&count=40,The Cronk Trust,,VG,VG 1110,,IM,IM1 2PT,VG,ACTIVE,ISSUED,ENTITY_SUPPLIED_ONLY
6,38370b7e-c28b-48a7-8557-45c2601e1c72,3/12/2019 7:31,16-12-2019 18:00,App\ChallengeDetail,549300EKSJ9LMQT05F14,Level1,EVK05KS7XY1DEII3R011,LEI_SEARCH,3/12/2019 6:31,Please check and confirm the status of the mentioned entity.,HassÃ¸ & Elmer Holding ApS,DK-83,DK,7100,DK-83,DK,7100,DK,ACTIVE,ISSUED,FULLY_CORROBORATED
7,c1a805c1-f161-4d05-b682-ce770e9ae5fe,3/12/2019 9:15,3/12/2019 14:00,App\ChallengeDetail,969500Y8505YU77ZKM76,Level1,969500Q2MA9VBQ8BG884,LEI_SEARCH,3/12/2019 8:15,This challenge is raised as part of the accuracy of addresses improvements mentioned in Numbered Message 548.,"JP OIL PRODUCTION, LLC",US-DE,US,19808,US-LA,US,70508,US-DE,ACTIVE,ISSUED,FULLY_CORROBORATED
8,45002fd1-c7f6-42d1-ad1f-77773cca1403,3/12/2019 9:18,13-12-2019 09:00,App\ChallengeDetail,743700Q65ELIYM016Z07,Level1,743700OO8O2N3TQKJC81,LEI_SEARCH,3/12/2019 8:18,This challenge is raised as part of the accuracy of addresses improvements mentioned in Numbered Message 548.,"VALPARAISO INVESTMENTS, LLC",US-DE,US,19808,US-NY,US,10065,US-DE,ACTIVE,ISSUED,FULLY_CORROBORATED
9,dafdced6-d120-4374-89f6-b4eb50b206bc,3/12/2019 9:20,5/12/2019 16:00,App\ChallengeDetail,2594003AHEYM3SA9CW13,Level1,259400L3KBYEVNHEJF55,LEI_SEARCH,3/12/2019 8:20,This challenge is raised as part of the accuracy of addresses improvements mentioned in Numbered Message 548.,ALIAXIS NORTH AMERICA INC.,CA-NB,CA,E2L 5B2,CA-QC,CA,H3E 1H7,CA,ACTIVE,ISSUED,FULLY_CORROBORATED
10,5ee40da8-a9c5-4b46-8cc9-3f22332ab981,3/12/2019 9:21,3/12/2019 11:28,App\ChallengeDetail,259400P7QVGG1YO5FS79,Level1,259400L3KBYEVNHEJF55,LEI_SEARCH,3/12/2019 8:21,This challenge is raised as part of the accuracy of addresses improvements mentioned in Numbered Message 548.,FIRST TRUST EXCHANGE-TRADED FUND - FT Cboe Vest Gold Tactical Buffer ETF,US-MA,US,2110,US-IL,US,60187,US-MA,ACTIVE,ISSUED,FULLY_CORROBORATED
11,953ca7f6-8a2b-491d-9aa0-1040b2839b84,3/12/2019 9:32,3/12/2019 11:28,App\ChallengeDetail,2549008SF6823GW2C764,Level2,5493001KJTIIGC8Y1R12,LEI_SEARCH,3/12/2019 8:32,As a representative of LEI Register OÜ we declare that we are not a parent entity for Wilson International Trading Private Limited,FIRST TRUST EXCHANGE-TRADED FUND - FT Cboe Vest Gold Buffer ETF,US-MA,US,2110,US-IL,US,60187,US-MA,ACTIVE,ISSUED,FULLY_CORROBORATED
12,452ca0d2-15d3-4781-af21-cd6192c821fb,3/12/2019 9:37,12/12/2019 9:00,App\ChallengeDetail,3358005CCES2676X2N60,Level1,335800FVH4MOKZS9VH40,LEI_SEARCH,3/12/2019 8:37,This challenge is raised as part of the accuracy of addresses improvements mentioned in Numbered Message 548.,RAGLAN CAPITAL LIMITED,,BM,HM 11,,BM,HM 11,BM,ACTIVE,ISSUED,FULLY_CORROBORATED
13,f07e6d36-b890-471c-8f94-ae622d7b4699,3/12/2019 9:49,10/12/2019 12:00,App\ChallengeDetail,391200UFNZLQWKQ7EE31,Level1,39120001KULK7200U106,LEI_SEARCH,3/12/2019 8:49,As mentioned in Numbered Message 548,ARDIAN Entrepreneurs & Croissance 2020,FR-75,FR,75001,FR-75,FR,75001,FR,ACTIVE,ISSUED,PARTIALLY_CORROBORATED
14,4271e5e4-d785-4343-99fc-c3c0ef377b1c,3/12/2019 9:56,6/12/2019 12:00,App\ChallengeDetail,724500CB6BVBDI06F621,Level1,724500A93Z8V1MJK5349,LEI_SEARCH,3/12/2019 8:56,As mentioned in Numbered Message 548,New Mountain Partners VI Access Offshore SCSp,LU-LU,LU,L-1855,US-NY,US,10282,LU,ACTIVE,ISSUED,FULLY_CORROBORATED
15,8bf4daad-53ff-4604-a1a9-fec049f791fd,3/12/2019 10:01,3/12/2019 14:00,App\ChallengeDetail,50670078CV4I6O7O7G38,Level1,506700LOLO7M6V0E4247,LEI_SEARCH,3/12/2019 9:01,As mentioned in Numbered Message 548,"LORD PROPERTIES III, LLC",US-FL,US,33309,US-FL,US,33309,US-FL,ACTIVE,ISSUED,FULLY_CORROBORATED
16,b64ef92b-86c3-48c7-8f5f-c4df4f1f3480,3/12/2019 10:03,9/12/2019 14:00,App\ChallengeDetail,967600TVV7H0OYQHRN58,Level1,52990034RLKT0WSOAM90,LEI_SEARCH,3/12/2019 9:03,As mentioned in Numbered Message 548,PLUS ULTRA AS,NO-11,NO,4319,NO-11,NO,4319,NO,ACTIVE,ISSUED,FULLY_CORROBORATED
17,a4d9bb90-cf55-4eed-8438-5e06bb5e98bd,3/12/2019 10:12,19-12-2019 11:00,App\ChallengeDetail,8156009E678F10F8A278,Level1,815600EAD78C57FCE690,LEI_SEARCH,3/12/2019 9:12,As mentioned in Numbered Message 548,LUSTER RÃDE KORS,NO-14,NO,6868,NO-14,NO,6868,NO,ACTIVE,ISSUED,FULLY_CORROBORATED
18,847ede9d-6ad4-4bad-a510-875586197359,3/12/2019 10:14,21-01-2020 11:00,App\ChallengeDetail,984500C1D614886N6093,Level1,529900T8BM49AURSDO55,LEI_SEARCH,3/12/2019 9:14,As mentioned in Numbered Message 548,HERLE COMPANY INVEST & TRADE LTD.,,BS,,,BS,,BS,ACTIVE,ISSUED,PARTIALLY_CORROBORATED
19,421bd73c-fc84-48a4-9605-859afb836784,3/12/2019 10:19,3/12/2019 16:00,App\ChallengeDetail,222100IB22MFXYIJ2P47,Level1,222100T6ICDIY8V4VX70,LEI_SEARCH,3/12/2019 9:19,As mentioned in Numbered Message 548,ASSEMBLIES OF GOD FINANCIAL SERVICES GROUP,US-MO,US,65807,US-MO,US,65807,US-MO,ACTIVE,ISSUED,FULLY_CORROBORATED
