id,LEI,Entity.LegalName,Entity.LegalName.xmllang,Entity.OtherEntityNames.OtherEntityName.1,Entity.LegalAddress.Region,Entity.LegalAddress.Country,Entity.LegalAddress.PostalCode,Entity.HeadquartersAddress.Region,Entity.HeadquartersAddress.Country,Entity.HeadquartersAddress.PostalCode,Entity.RegistrationAuthority.RegistrationAuthorityID,Entity.RegistrationAuthority.OtherRegistrationAuthorityID,Entity.RegistrationAuthority.RegistrationAuthorityEntityID,Entity.LegalJurisdiction,Entity.EntityStatus,Registration.RegistrationStatus,Registration.NextRenewalDate,Registration.ValidationSources,Registration.ValidationAuthority.ValidationAuthorityID,Registration.ValidationAuthority.ValidationAuthorityEntityID
1,549300YRNUQ0FK60YT75,Lino Engineering AB,,,SE-O,SE,442 96,SE-O,SE,442 96,RA000544,,5592301054,SE,ACTIVE,ISSUED,2021-10-09T10:16:00+00:00,FULLY_CORROBORATED,RA000544,5592301054
2,549300XULF26SE267B93,PETERSHILL IV EMPLOYEE LP,,,US-DE,US,19808,US-NY,US,10282,RA000602,,3554772,US-DE,ACTIVE,ISSUED,2021-10-08T00:19:00+00:00,FULLY_CORROBORATED,RA000602,3554772
3,549300WJU0F6B89RER21,"ERC I, LLC",,,US-ID,US,83402,US-ID,US,83402,RA000607,,584662,US-ID,ACTIVE,ISSUED,2021-10-06T00:19:00+00:00,FULLY_CORROBORATED,RA000607,584662
4,54930023QQ4AVHEWZ933,AKM Consulting AB,,,SE-AB,SE,183 55,SE-AB,SE,183 55,RA000544,,5592408412,SE,ACTIVE,ISSUED,2021-10-09T10:16:00+00:00,FULLY_CORROBORATED,RA000544,5592408412
5,549300O1PTXKQSTL4R09,IOGT-NTO GÄVLEBORGS LÄN,,,SE-X,SE,812 40,SE-X,SE,812 40,RA000546,,8865003134,SE,ACTIVE,ISSUED,2021-10-01T10:16:00+00:00,FULLY_CORROBORATED,RA000546,8865003134
6,549300HKD3KY76XPNM71,FIRST TRUST EXCHANGE-TRADED FUND - FT Cboe Vest Gold Target Income ETF,,,US-MA,US,2110,US-IL,US,60187,RA000665,,S000070087,US-MA,ACTIVE,ISSUED,2021-10-08T00:19:00+00:00,FULLY_CORROBORATED,RA000665,S000070087
7,549300M878QI0ZNF4735,The Trustee of the Hetman B Trust,,,CH-ZH,CH,8008,CH-ZH,CH,8008,RA999999,,,CH,ACTIVE,ISSUED,2021-10-07T00:18:00+00:00,ENTITY_SUPPLIED_ONLY,RA999999,
8,549300NDFBOSRNA5RN63,Aktiesparklubben Roj,,,SE-N,SE,312 34,SE-N,SE,312 34,RA000546,,9492012571,SE,ACTIVE,ISSUED,2021-10-08T10:17:00+00:00,FULLY_CORROBORATED,RA000546,9492012571
9,549300SS4KJ3823OZE85,"FT SOF XI (SPAC) HOLDINGS, LLC",,,US-DE,US,19808,US-NY,US,10036,RA000602,,6551786,US-DE,ACTIVE,ISSUED,2021-10-09T00:18:00+00:00,FULLY_CORROBORATED,RA000602,6551786
10,5493001FT03YPLCL2K33,KM NEW ENERGY AS,,,NO-03,NO,275,NO-03,NO,275,RA000472,,925552577,NO,ACTIVE,ISSUED,2021-10-08T10:17:00+00:00,FULLY_CORROBORATED,RA000472,925552577
11,549300S7JMEMM26WDS08,GRUPO INDUSTRIAL SACSA SA DE CV,,,MX-CMX,MX,11460,MX-CMX,MX,11460,RA000449,,GIS890116EA6,MX,ACTIVE,ISSUED,2021-10-08T00:19:00+00:00,FULLY_CORROBORATED,RA000449,GIS890116EA6
12,549300NGKIPYQV6FHQ18,Mats Klingström Produktion Aktiebolag,,,SE-AB,SE,113 27,SE-AB,SE,113 27,RA000544,,5566619325,SE,ACTIVE,ISSUED,2021-10-09T10:16:00+00:00,FULLY_CORROBORATED,RA000544,5566619325
13,5493001WY2CPSOWT0J18,"OASIS 519 PROPERTY, LLC",,,US-TX,US,77478-3676,US-TX,US,77478-3676,RA000637,,802463860,US-TX,ACTIVE,ISSUED,2021-10-07T00:19:00+00:00,FULLY_CORROBORATED,RA000637,802463860
14,549300X9L3RDBLLZPI05,SOLBERGVEIEN 12 AS,,,NO-10,NO,4612,NO-10,NO,4612,RA000472,,922699844,NO,ACTIVE,ISSUED,2021-10-08T10:17:00+00:00,FULLY_CORROBORATED,RA000472,922699844
15,549300SSCOKT6VK7QR93,NEW BRAUNFELS STEWARDSHIP PROPERTIES LLC,,,US-TX,US,78130,US-TX,US,78130,RA000637,,802364152,US-TX,ACTIVE,ISSUED,2021-10-09T00:18:00+00:00,FULLY_CORROBORATED,RA000637,802364152
16,5493009YG07QUMN8PQ96,NZX WEALTH TECHNOLOGIES LIMITED,,,NZ-WGN,NZ,6011,NZ-AUK,NZ,632,RA000466,,5885287,NZ,ACTIVE,ISSUED,2021-10-07T10:18:00+00:00,FULLY_CORROBORATED,RA000466,5885287
17,549300SRIUT9OO4X6O58,"BENSALEM 11, LLC",,,US-DE,US,19808,US-NJ,US,08701-6100,RA000602,,4144722,US-DE,ACTIVE,ISSUED,2021-10-07T00:18:00+00:00,FULLY_CORROBORATED,RA000602,4144722
18,549300TBIUZRHY84PH80,CORTICA REPUBLIC L.L.C.,,,US-CA,US,95628,US-CA,US,92782,RA000598,,2.02E+11,US-CA,ACTIVE,ISSUED,2021-10-09T00:18:00+00:00,FULLY_CORROBORATED,RA000598,2.02E+11
19,5493001YS5H4ZXOS3Y78,INNOVID INC.,,,US-DE,US,19808,US-NY,US,10003,RA000602,,4375473,US-DE,ACTIVE,ISSUED,2021-03-28T00:18:00+00:00,FULLY_CORROBORATED,RA000602,4375473
